cluster,building_type,pct
0,Apartment,43.69747899159664
0,Industrial,4.201680672268908
0,Mixed-use,10.92436974789916
0,Office,15.966386554621849
0,Villa,25.210084033613445
1,Apartment,42.3728813559322
1,Industrial,0.847457627118644
1,Mixed-use,13.559322033898304
1,Office,11.864406779661017
1,Villa,31.35593220338983
2,Apartment,39.34426229508197
2,Industrial,9.01639344262295
2,Mixed-use,8.19672131147541
2,Office,15.573770491803279
2,Villa,27.868852459016395
3,Apartment,41.44144144144144
3,Industrial,2.7027027027027026
3,Mixed-use,14.414414414414415
3,Office,13.513513513513514
3,Villa,27.92792792792793
4,Apartment,44.61538461538461
4,Industrial,3.076923076923077
4,Mixed-use,12.307692307692308
4,Office,11.538461538461538
4,Villa,28.46153846153846
